 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 290,000      | 	 121          | 	 0            | 	 121,739,000  | 	 -163,764,864 
 merge sort                     | 	 / 1 (n_const)  | 	 300,000      | 	 116          | 	 0            | 	 116,202,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 300,000      | 	 105          | 	 0            | 	 104,627,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 300,000      | 	 60           | 	 0            | 	 60,038,000   | 	 2,097,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 300,000      | 	 72           | 	 0            | 	 71,825,000   | 	 28,311,552 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 300,000      | 	 85           | 	 0            | 	 84,890,000   | 	 12,703,928 
 merge sort                     | 	 / 1 (n_const)  | 	 310,000      | 	 120          | 	 0            | 	 119,564,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 310,000      | 	 104          | 	 0            | 	 104,365,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 310,000      | 	 61           | 	 0            | 	 61,057,000   | 	 2,097,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 310,000      | 	 234          | 	 0            | 	 233,566,000  | 	 8,912,896  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 310,000      | 	 89           | 	 0            | 	 89,737,000   | 	 12,826,280 
 merge sort                     | 	 / 1 (n_const)  | 	 320,000      | 	 124          | 	 0            | 	 124,469,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 320,000      | 	 107          | 	 0            | 	 106,824,000  | 	 2,883,600  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 320,000      | 	 62           | 	 0            | 	 62,318,000   | 	 2,179,832  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 320,000      | 	 74           | 	 0            | 	 74,839,000   | 	 29,882,368 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 320,000      | 	 210          | 	 0            | 	 210,069,000  | 	 4,194,304  
 merge sort                     | 	 / 1 (n_const)  | 	 330,000      | 	 130          | 	 0            | 	 129,481,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 330,000      | 	 122          | 	 0            | 	 122,528,000  | 	 -373,030,896 
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 330,000      | 	 63           | 	 0            | 	 63,332,000   | 	 2,192,160  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 330,000      | 	 183          | 	 0            | 	 182,745,000  | 	 24,643,584 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 330,000      | 	 92           | 	 0            | 	 92,231,000   | 	 13,225,472 
 merge sort                     | 	 / 1 (n_const)  | 	 340,000      | 	 133          | 	 0            | 	 132,943,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 340,000      | 	 114          | 	 0            | 	 114,088,000  | 	 2,490,400  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 340,000      | 	 68           | 	 0            | 	 68,300,000   | 	 2,212,792  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 340,000      | 	 82           | 	 0            | 	 82,104,000   | 	 31,457,280 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 340,000      | 	 115          | 	 0            | 	 114,767,000  | 	 13,631,488 
 merge sort                     | 	 / 1 (n_const)  | 	 350,000      | 	 138          | 	 0            | 	 137,958,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 350,000      | 	 120          | 	 0            | 	 119,623,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 350,000      | 	 70           | 	 0            | 	 70,717,000   | 	 2,097,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 350,000      | 	 77           | 	 0            | 	 76,974,000   | 	 31,979,520 
