idx,name,shuffle,elements,duration_ms,p_duration_s,p_duration_ns,memory
132, Arrays.parallelSort            , 	 / 1      ," 	 270,000      ", 	 53           ,0," 	 52,392,000   "," 	 2,194,816  "
133, Linked Hashmap                 , 	 / 1      ," 	 270,000      ", 	 74           ,0," 	 74,474,000   "," 	 26,214,400 "
134, Stream + parallel + sort       , 	 / 1      ," 	 270,000      ", 	 79           ,0," 	 78,442,000   "," 	 12,075,760 "
135, merge sort                     , 	 / 1      ," 	 280,000      ", 	 156          ,0," 	 156,612,000  "," 	 2,097,152  "
136, Arrays.sort                    , 	 / 1      ," 	 280,000      ", 	 126          ,0," 	 126,780,000  "," 	 2,359,312  "
137, Arrays.parallelSort            , 	 / 1      ," 	 280,000      ", 	 68           ,0," 	 68,046,000   "," 	 2,107,920  "
138, Linked Hashmap                 , 	 / 1      ," 	 280,000      ", 	 105          ,0," 	 104,876,000  "," 	 27,262,976 "
139, Stream + parallel + sort       , 	 / 1      ," 	 280,000      ", 	 93           ,0," 	 93,272,000   "," 	 11,924,176 "
140, merge sort                     , 	 / 1      ," 	 290,000      ", 	 152          ,0," 	 152,517,000  "," 	 2,097,152  "
141, Arrays.sort                    , 	 / 1      ," 	 290,000      ", 	 109          ,0," 	 108,821,000  "," 	 2,588,736  "
142, Arrays.parallelSort            , 	 / 1      ," 	 290,000      ", 	 72           ,0," 	 72,011,000   "," 	 2,205,520  "
143, Linked Hashmap                 , 	 / 1      ," 	 290,000      ", 	 267          ,0," 	 266,760,000  "," 	 17,827,840 "
144, Stream + parallel + sort       , 	 / 1      ," 	 290,000      ", 	 104          ,0," 	 104,436,000  "," 	 12,207,424 "
145, merge sort                     , 	 / 1      ," 	 300,000      ", 	 133          ,0," 	 132,891,000  "," 	 2,097,152  "
146, Arrays.sort                    , 	 / 1      ," 	 300,000      ", 	 170          ,0," 	 169,851,000  "," 	 2,752,528  "
147, Arrays.parallelSort            , 	 / 1      ," 	 300,000      ", 	 65           ,0," 	 65,052,000   "," 	 -370,586,752 "
148, Linked Hashmap                 , 	 / 1      ," 	 300,000      ", 	 222          ,0," 	 222,234,000  "," 	 15,730,688 "
149, Stream + parallel + sort       , 	 / 1      ," 	 300,000      ", 	 120          ,0," 	 120,137,000  "," 	 12,459,328 "
150, merge sort                     , 	 / 1      ," 	 310,000      ", 	 123          ,0," 	 122,934,000  "," 	 2,097,152  "
151, Arrays.sort                    , 	 / 1      ," 	 310,000      ", 	 141          ,0," 	 140,385,000  "," 	 2,490,400  "
152, Arrays.parallelSort            , 	 / 1      ," 	 310,000      ", 	 64           ,0," 	 63,130,000   "," 	 2,204,512  "
153, Linked Hashmap                 , 	 / 1      ," 	 310,000      ", 	 78           ,0," 	 77,913,000   "," 	 29,360,128 "
154, Stream + parallel + sort       , 	 / 1      ," 	 310,000      ", 	 108          ,0," 	 107,723,000  "," 	 13,927,552 "
155, merge sort                     , 	 / 1      ," 	 320,000      ", 	 147          ,0," 	 146,597,000  "," 	 2,097,152  "
156, Arrays.sort                    , 	 / 1      ," 	 320,000      ", 	 138          ,0," 	 137,982,000  "," 	 2,490,400  "
157, Arrays.parallelSort            , 	 / 1      ," 	 320,000      ", 	 88           ,0," 	 87,693,000   "," 	 2,202,880  "
158, Linked Hashmap                 , 	 / 1      ," 	 320,000      ", 	 79           ,0," 	 78,571,000   "," 	 29,882,368 "
159, Stream + parallel + sort       , 	 / 1      ," 	 320,000      ", 	 143          ,0," 	 143,274,000  "," 	 13,493,680 "
160, merge sort                     , 	 / 1      ," 	 330,000      ", 	 144          ,0," 	 143,912,000  "," 	 2,097,152  "
161, Arrays.sort                    , 	 / 1      ," 	 330,000      ", 	 123          ,0," 	 123,163,000  "," 	 2,359,312  "
162, Arrays.parallelSort            , 	 / 1      ," 	 330,000      ", 	 66           ,0," 	 65,819,000   "," 	 2,142,800  "
163, Linked Hashmap                 , 	 / 1      ," 	 330,000      ", 	 94           ,0," 	 94,675,000   "," 	 30,935,040 "
164, Stream + parallel + sort       , 	 / 1      ," 	 330,000      ", 	 268          ,0," 	 267,570,000  "," 	 4,350,464  "
165, merge sort                     , 	 / 1      ," 	 340,000      ", 	 140          ,0," 	 140,862,000  "," 	 2,097,152  "
166, Arrays.sort                    , 	 / 1      ," 	 340,000      ", 	 123          ,0," 	 122,114,000  "," 	 2,555,952  "
167, Arrays.parallelSort            , 	 / 1      ," 	 340,000      ", 	 66           ,0," 	 66,637,000   "," 	 2,097,152  "
168, Linked Hashmap                 , 	 / 1      ," 	 340,000      ", 	 99           ,0," 	 99,306,000   "," 	 31,457,280 "
169, Stream + parallel + sort       , 	 / 1      ," 	 340,000      ", 	 256          ,0," 	 256,109,000  "," 	 5,242,880  "
170, merge sort                     , 	 / 1      ," 	 350,000      ", 	 146          ,0," 	 145,861,000  "," 	 2,097,152  "
171, Arrays.sort                    , 	 / 1      ," 	 350,000      ", 	 130          ,0," 	 129,704,000  "," 	 2,359,312  "
172, Arrays.parallelSort            , 	 / 1      ," 	 350,000      ", 	 75           ,0," 	 75,372,000   "," 	 2,222,200  "
173, Linked Hashmap                 , 	 / 1      ," 	 350,000      ", 	 165          ,0," 	 165,077,000  "," 	 -502,267,904 "
174, Stream + parallel + sort       , 	 / 1      ," 	 350,000      ", 	 127          ,0," 	 127,192,000  "," 	 14,093,280 "
175, merge sort                     , 	 / 1      ," 	 360,000      ", 	 171          ,0," 	 170,917,000  "," 	 2,097,152  "
176, Arrays.sort                    , 	 / 1      ," 	 360,000      ", 	 135          ,0," 	 135,285,000  "," 	 2,686,992  "
177, Arrays.parallelSort            , 	 / 1      ," 	 360,000      ", 	 73           ,0," 	 73,383,000   "," 	 2,217,344  "
178, Linked Hashmap                 , 	 / 1      ," 	 360,000      ", 	 111          ,0," 	 110,378,000  "," 	 32,505,856 "
179, Stream + parallel + sort       , 	 / 1      ," 	 360,000      ", 	 147          ,0," 	 146,882,000  "," 	 14,735,544 "
180, merge sort                     , 	 / 1      ," 	 370,000      ", 	 157          ,0," 	 157,015,000  "," 	 2,097,152  "
181, Arrays.sort                    , 	 / 1      ," 	 370,000      ", 	 134          ,0," 	 133,974,000  "," 	 2,359,312  "
182, Arrays.parallelSort            , 	 / 1      ," 	 370,000      ", 	 110          ,0," 	 109,493,000  "," 	 2,223,816  "
183, Linked Hashmap                 , 	 / 1      ," 	 370,000      ", 	 232          ,0," 	 232,930,000  "," 	 27,787,264 "
184, Stream + parallel + sort       , 	 / 1      ," 	 370,000      ", 	 128          ,0," 	 128,588,000  "," 	 14,447,184 "
185, merge sort                     , 	 / 1      ," 	 380,000      ", 	 162          ,0," 	 161,838,000  "," 	 2,097,152  "
186, Arrays.sort                    , 	 / 1      ," 	 380,000      ", 	 174          ,0," 	 174,542,000  "," 	 2,555,952  "
187, Arrays.parallelSort            , 	 / 1      ," 	 380,000      ", 	 85           ,0," 	 84,722,000   "," 	 2,219,160  "
188, Linked Hashmap                 , 	 / 1      ," 	 380,000      ", 	 282          ,0," 	 281,265,000  "," 	 28,833,792 "
189, Stream + parallel + sort       , 	 / 1      ," 	 380,000      ", 	 127          ,0," 	 127,116,000  "," 	 15,119,640 "
190, merge sort                     , 	 / 1      ," 	 390,000      ", 	 198          ,0," 	 197,834,000  "," 	 2,097,152  "
191, Arrays.sort                    , 	 / 1      ," 	 390,000      ", 	 182          ,0," 	 182,834,000  "," 	 2,382,976  "
192, Arrays.parallelSort            , 	 / 1      ," 	 390,000      ", 	 99           ,0," 	 98,864,000   "," 	 2,227,952  "
193, Linked Hashmap                 , 	 / 1      ," 	 390,000      ", 	 117          ,0," 	 116,879,000  "," 	 35,129,344 "
194, Stream + parallel + sort       , 	 / 1      ," 	 390,000      ", 	 311          ,0," 	 311,011,000  "," 	 8,386,560  "
195, merge sort                     , 	 / 1      ," 	 400,000      ", 	 182          ,0," 	 181,258,000  "," 	 2,097,152  "
196, Arrays.sort                    , 	 / 1      ," 	 400,000      ", 	 154          ,0," 	 154,650,000  "," 	 2,490,400  "
197, Arrays.parallelSort            , 	 / 1      ," 	 400,000      ", 	 221          ,0," 	 221,550,000  "," 	 -566,288,208 "
198, Linked Hashmap                 , 	 / 1      ," 	 400,000      ", 	 261          ,0," 	 260,710,000  "," 	 31,617,056 "
199, Stream + parallel + sort       , 	 / 1      ," 	 400,000      ", 	 138          ,0," 	 138,101,000  "," 	 17,870,208 "
200, merge sort                     , 	 / 1      ," 	 410,000      ", 	 173          ,0," 	 172,740,000  "," 	 2,097,152  "
201, Arrays.sort                    , 	 / 1      ," 	 410,000      ", 	 178          ,0," 	 177,879,000  "," 	 2,605,136  "
202, Arrays.parallelSort            , 	 / 1      ," 	 410,000      ", 	 100          ,0," 	 100,026,000  "," 	 2,217,808  "
203, Linked Hashmap                 , 	 / 1      ," 	 410,000      ", 	 310          ,0," 	 309,751,000  "," 	 27,789,312 "
204, Stream + parallel + sort       , 	 / 1      ," 	 410,000      ", 	 286          ,0," 	 286,164,000  "," 	 7,337,984  "
205, merge sort                     , 	 / 1      ," 	 420,000      ", 	 432          ,0," 	 432,448,000  "," 	 2,097,152  "
206, Arrays.sort                    , 	 / 1      ," 	 420,000      ", 	 383          ,0," 	 383,046,000  "," 	 2,359,312  "
207, Arrays.parallelSort            , 	 / 1      ," 	 420,000      ", 	 200          ,0," 	 200,097,000  "," 	 2,211,592  "
208, Linked Hashmap                 , 	 / 1      ," 	 420,000      ", 	 522          ,0," 	 522,909,000  "," 	 37,224,448 "
209, Stream + parallel + sort       , 	 / 1      ," 	 420,000      ", 	 318          ,0," 	 318,222,000  "," 	 16,851,848 "
210, merge sort                     , 	 / 1      ," 	 430,000      ", 	 425          ,0," 	 424,678,000  "," 	 2,097,152  "
211, Arrays.sort                    , 	 / 1      ," 	 430,000      ", 	 390          ,0," 	 389,871,000  "," 	 2,490,400  "
212, Arrays.parallelSort            , 	 / 1      ," 	 430,000      ", 	 94           ,0," 	 94,013,000   "," 	 2,226,512  "
213, Linked Hashmap                 , 	 / 1      ," 	 430,000      ", 	 161          ,0," 	 160,714,000  "," 	 42,991,616 "
214, Stream + parallel + sort       , 	 / 1      ," 	 430,000      ", 	 166          ,0," 	 166,553,000  "," 	 16,541,328 "
215, merge sort                     , 	 / 1      ," 	 440,000      ", 	 207          ,0," 	 207,280,000  "," 	 2,097,152  "
216, Arrays.sort                    , 	 / 1      ," 	 440,000      ", 	 196          ,0," 	 196,067,000  "," 	 2,359,312  "
217, Arrays.parallelSort            , 	 / 1      ," 	 440,000      ", 	 89           ,0," 	 89,065,000   "," 	 2,233,608  "
218, Linked Hashmap                 , 	 / 1      ," 	 440,000      ", 	 315          ,0," 	 314,971,000  "," 	 38,275,072 "
219, Stream + parallel + sort       , 	 / 1      ," 	 440,000      ", 	 296          ,0," 	 295,276,000  "," 	 -583,876,232 "
220, merge sort                     , 	 / 1      ," 	 450,000      ", 	 214          ,0," 	 213,815,000  "," 	 2,097,152  "
221, Arrays.sort                    , 	 / 1      ," 	 450,000      ", 	 164          ,0," 	 164,386,000  "," 	 2,359,312  "
222, Arrays.parallelSort            , 	 / 1      ," 	 450,000      ", 	 121          ,0," 	 121,735,000  "," 	 2,230,288  "
223, Linked Hashmap                 , 	 / 1      ," 	 450,000      ", 	 320          ,0," 	 320,355,000  "," 	 31,979,520 "
224, Stream + parallel + sort       , 	 / 1      ," 	 450,000      ", 	 328          ,0," 	 327,857,000  "," 	 -3,474,848 "
225, merge sort                     , 	 / 1      ," 	 460,000      ", 	 208          ,0," 	 207,935,000  "," 	 2,097,152  "
226, Arrays.sort                    , 	 / 1      ," 	 460,000      ", 	 175          ,0," 	 174,796,000  "," 	 2,490,400  "
